source_slug,source_l3_scenario_id,skill_id,source_l2_scenario_id,farming_group,task_type,l2_biological_yield_kg,l2_recovered_yield_kg,l2_donothing_biological_yield_kg,l3_biological_yield_kg,l3_recovered_yield_kg,l2_vs_l3_bio_delta_pct,l2_vs_l3_recovered_delta_pct,skill_oracle_events_empty,non_dict_oracle_event_entries,card_missing_flow_major_actions,flow_major_actions_not_in_card,card_major_actions,flow_major_actions
hb_wetcold_high_residue_establishment,scenario_full_season_hb_wetcold_high_residue_establishment,wetcold_residue_planting_window,scenario_l2_hb_wetcold_high_residue_planting_window,establishment,planting_window,7773.0,0.0,0.0,7859.62,7242.99,-1.102,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_wetcold_high_residue_establishment,scenario_full_season_hb_wetcold_high_residue_establishment,wetcold_residue_replant_recovery,scenario_l2_hb_wetcold_high_residue_replant_recovery,management,stand_recovery,7839.96,0.0,7773.0,7859.62,7242.99,-0.25,-100.0,False,0,,,"{""replant_seeds"": 4}","{""replant_seeds"": 4}"
hb_wetcold_high_residue_establishment,scenario_full_season_hb_wetcold_high_residue_establishment,wetcold_residue_staged_harvest,scenario_l2_hb_wetcold_high_residue_harvest_sequence,harvest,harvest_postharvest,7839.96,7225.43,7839.96,7859.62,7242.99,-0.25,-0.242,False,0,,,"{""dry_grain"": 2, ""harvest"": 16, ""store_grain"": 2, ""unload_grain"": 16}","{""dry_grain"": 2, ""harvest"": 16, ""store_grain"": 2, ""unload_grain"": 16}"
hb_wetjune_disease_recheck_after_fungicide,scenario_full_season_hb_wetjune_disease_recheck_after_fungicide,establishment_planting,scenario_l2_hb_wetjune_recheck_establishment_planting,establishment,planting,9144.66,0.0,0.0,9516.11,8872.28,-3.903,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_wetjune_disease_recheck_after_fungicide,scenario_full_season_hb_wetjune_disease_recheck_after_fungicide,mid_fungicide_20_43,scenario_l2_hb_wetjune_recheck_mid_fungicide_20_43,management,fungicide,9426.02,0.0,9144.66,9516.11,8872.28,-0.947,-100.0,False,0,,,{},{}
hb_wetjune_disease_recheck_after_fungicide,scenario_full_season_hb_wetjune_disease_recheck_after_fungicide,r5_fungicide_20_43,scenario_l2_hb_wetjune_recheck_r5_fungicide_20_43,management,fungicide,9508.59,0.0,9426.02,9516.11,8872.28,-0.079,-100.0,False,0,,,{},{}
hb_wetjune_disease_recheck_after_fungicide,scenario_full_season_hb_wetjune_disease_recheck_after_fungicide,harvest_window,scenario_l2_hb_wetjune_recheck_harvest_window,harvest,harvest_postharvest,9508.59,8866.2,9508.59,9516.11,8872.28,-0.079,-0.069,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_wetjune_shortwindow_trafficability,scenario_full_season_hb_wetjune_shortwindow_trafficability,standard_density_planting,scenario_l2_hb_wetjune_shortwindow_standard_planting,establishment,planting,8050.32,0.0,0.0,8390.54,7810.9,-4.055,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_wetjune_shortwindow_trafficability,scenario_full_season_hb_wetjune_shortwindow_trafficability,wetjune_fungicide_window,scenario_l2_hb_wetjune_shortwindow_fungicide_window,management,fungicide,8451.85,0.0,8050.32,8390.54,7810.9,0.731,-100.0,False,0,,,{},{}
hb_wetjune_shortwindow_trafficability,scenario_full_season_hb_wetjune_shortwindow_trafficability,harvest_dry_store,scenario_l2_hb_wetjune_shortwindow_harvest_dry_store,harvest,harvest_postharvest,8451.85,7868.46,8451.85,8390.54,7810.9,0.731,0.737,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
heinong84_staggered_planting,scenario_full_season_heinong84_staggered_planting,hn84_field_prep_early_zone_planting,scenario_l2_hn84_staggered_field_prep_early_planting,establishment,field_prep_planting,2950.84,0.0,0.0,8802.09,8184.2,-66.476,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 6}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 6}"
heinong84_staggered_planting,scenario_full_season_heinong84_staggered_planting,hn84_mid_zone_planting_window,scenario_l2_hn84_staggered_mid_planting_window,establishment,planting_window,6000.72,0.0,2966.83,8802.09,8184.2,-31.826,-100.0,False,0,,,"{""plant_seeds"": 6}","{""plant_seeds"": 6}"
heinong84_staggered_planting,scenario_full_season_heinong84_staggered_planting,hn84_late_seedbed_irrigation_planting,scenario_l2_hn84_staggered_late_seedbed_planting,establishment,irrigation_planting_window,8802.09,0.0,6000.72,8802.09,8184.2,0.0,-100.0,False,0,,,"{""irrigate"": 1, ""plant_seeds"": 6}","{""irrigate"": 1, ""plant_seeds"": 6}"
heinong84_staggered_planting,scenario_full_season_heinong84_staggered_planting,hn84_stage_scouting,scenario_l2_hn84_staggered_stage_scouting,management,management_scouting,8802.09,0.0,8802.09,8802.09,8184.2,0.0,-100.0,False,0,,,{},{}
heinong84_staggered_planting,scenario_full_season_heinong84_staggered_planting,hn84_staggered_harvest_sequence,scenario_l2_hn84_staggered_harvest_sequence,harvest,harvest_postharvest,8802.09,8148.71,8802.09,8802.09,8184.2,0.0,-0.434,False,0,,,"{""dry_grain"": 3, ""harvest"": 18, ""store_grain"": 3, ""unload_grain"": 18}","{""dry_grain"": 3, ""harvest"": 18, ""store_grain"": 3, ""unload_grain"": 18}"
